temp	step	file	lines	status
GRPO-Llama8B-math-temp-0.05	step-300	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-300/step0300_test.jsonl	2800	incomplete
GRPO-Llama8B-math-temp-0.05	step-350	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-350/step0350_test.jsonl	3968	incomplete
GRPO-Llama8B-math-temp-0.05	step-400	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-400/step0400_test.jsonl	3984	incomplete
GRPO-Llama8B-math-temp-0.05	step-450	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-450/step0450_test.jsonl	504	incomplete
GRPO-Llama8B-math-temp-0.05	step-500	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-500/step0500_test.jsonl	752	incomplete
GRPO-Llama8B-math-temp-0.3	step-0	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-0/step0000_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0.3	step-50	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-50/step0050_test.jsonl	3992	incomplete
GRPO-Llama8B-math-temp-0.3	step-100	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-100/step0100_test.jsonl	1504	incomplete
GRPO-Llama8B-math-temp-0.3	step-150	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-150/step0150_test.jsonl	3992	incomplete
GRPO-Llama8B-math-temp-0.3	step-200	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-200/step0200_test.jsonl	3984	incomplete
GRPO-Llama8B-math-temp-0.3	step-250	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-250/step0250_test.jsonl	4024	incomplete
GRPO-Llama8B-math-temp-0.3	step-300	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-300/step0300_test.jsonl	696	incomplete
GRPO-Llama8B-math-temp-0.3	step-350	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-350/step0350_test.jsonl	552	incomplete
GRPO-Llama8B-math-temp-0.3	step-400	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-400/step0400_test.jsonl	448	incomplete
GRPO-Llama8B-math-temp-0.3	step-450	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-450/step0450_test.jsonl	456	incomplete
GRPO-Llama8B-math-temp-0.3	step-500	artifacts/results/GRPO-Llama8B-math-temp-0.3/step-500/step0500_test.jsonl	440	incomplete
GRPO-Llama8B-math-temp-0.7	step-0	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-0/step0000_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0.7	step-50	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-50/step0050_test.jsonl	1568	incomplete
GRPO-Llama8B-math-temp-0.7	step-100	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-100/step0100_test.jsonl	1408	incomplete
GRPO-Llama8B-math-temp-0.7	step-150	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-150/step0150_test.jsonl	2704	incomplete
GRPO-Llama8B-math-temp-0.7	step-200	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-200/step0200_test.jsonl	976	incomplete
GRPO-Llama8B-math-temp-0.7	step-250	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-250/step0250_test.jsonl	784	incomplete
GRPO-Llama8B-math-temp-0.7	step-300	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-300/step0300_test.jsonl	712	incomplete
GRPO-Llama8B-math-temp-0.7	step-350	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-350/step0350_test.jsonl	584	incomplete
GRPO-Llama8B-math-temp-0.7	step-400	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-400/step0400_test.jsonl	480	incomplete
GRPO-Llama8B-math-temp-0.7	step-450	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-450/step0450_test.jsonl	496	incomplete
GRPO-Llama8B-math-temp-0.7	step-500	artifacts/results/GRPO-Llama8B-math-temp-0.7/step-500/step0500_test.jsonl	464	incomplete
